"origSpeed","accuracy","netSpeed"
73,0.95,69
85,0.92,78
71,0.91,65
83,0.92,76
83,0.91,76
66,0.92,61
98,0.91,89
89,0.89,79
68,0.93,63
73,0.91,66
81,0.92,75
75,0.94,70
65,0.92,60
84,0.93,78
71,0.93,66
77,0.92,71
75,0.94,70
79,0.93,73
67,0.92,62
91,0.89,81
63,0.92,58
73,0.89,65
61,0.93,57
86,0.92,79
82,0.93,76
63,0.92,58
79,0.94,74
101,0.95,96
51,0.96,49
89,0.94,84
86,0.96,83
93,0.94,88
81,0.9,73
107,0.98,105
59,0.92,55
76,0.93,71
100,0.94,94
96,0.9,87
90,0.96,87
97,0.96,94
95,0.97,93
